"Add to Cart","Do koszyka",module,Magento_Catalog
"Add to cart","Do koszyka",module,Magento_Catalog
"Add to Cart","Do koszyka",module,Magento_Sales
"Add to Cart","Do koszyka"
"Item in Cart","Produkt w koszyku"
"Items in Cart","Produkty w koszyku"
"Go to Checkout","Do kasy"
"View and edit cart","Zobacz koszyk"
"You added %1 to your <a href=""%2"">shopping cart</a>.","Dodała(e)ś %1 do swojego <a href=""%2"">koszyka</a>."
"Please select one of each of the ratings above.","Wybierz odpowiadnią ocenę powyżej."
star,gwiazdka
stars,gwiazdki
